P,DB,Issue,Type,Q,Answer,Time,SGLT,mental,physical,temporal,performance,effort,frustration,avg_others,avg_all
f118ebdd7e9350d704d9f91ee7de2702,3,Order&Grouping,Baseline,1,0,5.33,0,14,10,6,14,10,14,10.8,11.33
f118ebdd7e9350d704d9f91ee7de2702,2,InforOverload,Intervention,1,1,8.53,0,6,2,4,20,4,10,5.2,7.67
f118ebdd7e9350d704d9f91ee7de2702,1,InforOverload,Baseline,1,0,2.25,0,1,1,1,20,0,0,0.6,3.83
f118ebdd7e9350d704d9f91ee7de2702,3,Order&Grouping,Baseline,2,0,7.85,0,10,10,6,20,10,18,10.8,12.33
f118ebdd7e9350d704d9f91ee7de2702,7,DataUnderstanding,Baseline,2,1,8.82,0,4,4,2,8,5,14,5.8,6.17
f118ebdd7e9350d704d9f91ee7de2702,4,Order&Grouping,Intervention,2,1,8.67,0,6,10,2,20,4,3,5,7.50
f118ebdd7e9350d704d9f91ee7de2702,2,InforOverload,Intervention,2,1,5.8,0,16,13,6,20,6,10,10.2,11.83
f118ebdd7e9350d704d9f91ee7de2702,5,DataPresentation,Baseline,1,1,4.15,0,8,8,6,12,7,11,8,8.67
f118ebdd7e9350d704d9f91ee7de2702,6,DataPresentation,Intervention,1,1,2.1,0,2,2,2,20,2,0,1.6,4.67
f118ebdd7e9350d704d9f91ee7de2702,7,DataUnderstanding,Baseline,1,0,4.43,0,4,4,3,10,3,10,4.8,5.67
f118ebdd7e9350d704d9f91ee7de2702,8,DataUnderstanding,Intervention,1,0,6.5,0,10,12,4,4,8,10,8.8,8.00
f118ebdd7e9350d704d9f91ee7de2702,8,DataUnderstanding,Intervention,2,1,6.28,0,8,8,4,18,3,10,6.6,8.50
f118ebdd7e9350d704d9f91ee7de2702,1,InforOverload,Baseline,2,1,2.55,0,4,6,4,20,2,0,3.2,6.00
f118ebdd7e9350d704d9f91ee7de2702,5,DataPresentation,Baseline,2,0,5.17,0,12,2,2,10,6,14,7.2,7.67
f118ebdd7e9350d704d9f91ee7de2702,6,DataPresentation,Intervention,2,0,3.4,0,10,6,4,9,5,12,7.4,7.67
f118ebdd7e9350d704d9f91ee7de2702,4,Order&Grouping,Intervention,1,0,3.7,0,4,7,3,17,3,6,4.6,6.67
baa65da3618ecc0203e2163032046969,4,Order&Grouping,Intervention,1,0,3.98,2,2,0,2,19,4,10,3.6,6.17
baa65da3618ecc0203e2163032046969,3,Order&Grouping,Baseline,1,1,3.87,2,5,1,7,18,4,6,4.6,6.83
baa65da3618ecc0203e2163032046969,8,DataUnderstanding,Intervention,2,1,3.42,2,3,1,7,19,5,6,4.4,6.83
baa65da3618ecc0203e2163032046969,5,DataPresentation,Baseline,2,0,5.1,2,11,1,8,19,10,10,8,9.83
baa65da3618ecc0203e2163032046969,4,Order&Grouping,Intervention,2,0,6.18,2,12,2,5,16,10,11,8,9.33
baa65da3618ecc0203e2163032046969,7,DataUnderstanding,Baseline,2,1,4.02,2,10,2,10,18,10,11,8.6,10.17
baa65da3618ecc0203e2163032046969,5,DataPresentation,Baseline,1,0,2.78,2,7,2,7,18,6,9,6.2,8.17
baa65da3618ecc0203e2163032046969,6,DataPresentation,Intervention,1,0,1.77,2,9,2,18,14,11,8,9.6,10.33
baa65da3618ecc0203e2163032046969,1,InforOverload,Baseline,2,1,1.93,2,4,0,2,19,2,1,1.8,4.67
baa65da3618ecc0203e2163032046969,1,InforOverload,Baseline,1,0,1.73,2,7,0,6,18,2,2,3.4,5.83
baa65da3618ecc0203e2163032046969,2,InforOverload,Intervention,2,1,3.42,2,4,1,10,18,9,12,7.2,9.00
baa65da3618ecc0203e2163032046969,3,Order&Grouping,Baseline,2,1,8.05,2,12,2,13,16,18,16,12.2,12.83
baa65da3618ecc0203e2163032046969,2,InforOverload,Intervention,1,1,1.75,2,3,0,2,19,2,2,1.8,4.67
baa65da3618ecc0203e2163032046969,7,DataUnderstanding,Baseline,1,1,5.55,2,9,1,14,16,13,13,10,11.00
baa65da3618ecc0203e2163032046969,6,DataPresentation,Intervention,2,1,3.7,2,10,1,6,17,9,10,7.2,8.83
baa65da3618ecc0203e2163032046969,8,DataUnderstanding,Intervention,1,0,6.5,2,18,2,17,0,17,19,14.6,12.17
4be9bf38a921f0512e97cb114e70686f,6,DataPresentation,Intervention,2,0,4,2,14,8,18,6,14,18,14.4,13.00
4be9bf38a921f0512e97cb114e70686f,2,InforOverload,Intervention,1,1,3.57,2,2,2,6,10,14,4,5.6,6.33
4be9bf38a921f0512e97cb114e70686f,4,Order&Grouping,Intervention,1,0,3.92,2,10,4,8,10,8,2,6.4,7.00
4be9bf38a921f0512e97cb114e70686f,3,Order&Grouping,Baseline,1,1,4.93,2,6,4,4,14,8,4,5.2,6.67
4be9bf38a921f0512e97cb114e70686f,4,Order&Grouping,Intervention,2,0,4.9,2,8,12,6,10,8,4,7.6,8.00
4be9bf38a921f0512e97cb114e70686f,1,InforOverload,Baseline,2,1,2.03,2,6,1,1,16,6,1,3,5.17
4be9bf38a921f0512e97cb114e70686f,3,Order&Grouping,Baseline,2,1,4.93,2,8,2,4,10,6,16,7.2,7.67
4be9bf38a921f0512e97cb114e70686f,1,InforOverload,Baseline,1,1,5.3,2,9,8,4,14,16,16,10.6,11.17
4be9bf38a921f0512e97cb114e70686f,2,InforOverload,Intervention,2,1,3,2,2,2,2,14,4,1,2.2,4.17
4be9bf38a921f0512e97cb114e70686f,8,DataUnderstanding,Intervention,1,1,4.6,2,6,6,2,10,14,18,9.2,9.33
4be9bf38a921f0512e97cb114e70686f,5,DataPresentation,Baseline,1,0,5.08,2,6,2,10,8,14,12,8.8,8.67
4be9bf38a921f0512e97cb114e70686f,5,DataPresentation,Baseline,2,0,2.75,2,6,2,6,14,6,18,7.6,8.67
4be9bf38a921f0512e97cb114e70686f,8,DataUnderstanding,Intervention,2,1,2.87,2,1,1,4,16,1,1,1.6,4.00
4be9bf38a921f0512e97cb114e70686f,7,DataUnderstanding,Baseline,1,0,6.7,2,16,12,8,1,8,20,12.8,10.83
4be9bf38a921f0512e97cb114e70686f,6,DataPresentation,Intervention,1,1,1.67,2,2,2,1,18,2,1,1.6,4.33
4be9bf38a921f0512e97cb114e70686f,7,DataUnderstanding,Baseline,2,1,3.53,2,4,2,2,14,6,10,4.8,6.33
45abfdf3a3fd6f051089806e590aeb45,7,DataUnderstanding,Baseline,1,0,10.48,1,8,6,10,8,16,12,10.4,10.00
45abfdf3a3fd6f051089806e590aeb45,6,DataPresentation,Intervention,2,1,3.7,1,1,1,1,20,0,0,0.6,3.83
45abfdf3a3fd6f051089806e590aeb45,8,DataUnderstanding,Intervention,2,1,5.98,1,4,2,8,20,9,4,5.4,7.83
45abfdf3a3fd6f051089806e590aeb45,8,DataUnderstanding,Intervention,1,0,8.72,1,12,6,12,10,18,0,9.6,9.67
45abfdf3a3fd6f051089806e590aeb45,2,InforOverload,Intervention,2,0,9.45,1,12,4,12,18,15,10,10.6,11.83
45abfdf3a3fd6f051089806e590aeb45,5,DataPresentation,Baseline,1,0,4.13,1,1,1,2,20,1,1,1.2,4.33
45abfdf3a3fd6f051089806e590aeb45,1,InforOverload,Baseline,2,1,2.65,1,1,1,1,20,1,1,1,4.17
45abfdf3a3fd6f051089806e590aeb45,6,DataPresentation,Intervention,1,1,2.43,1,1,1,1,20,1,1,1,4.17
45abfdf3a3fd6f051089806e590aeb45,4,Order&Grouping,Intervention,2,1,5.15,1,12,1,6,20,13,4,7.2,9.33
45abfdf3a3fd6f051089806e590aeb45,3,Order&Grouping,Baseline,2,0,4.1,1,2,2,4,20,4,1,2.6,5.50
45abfdf3a3fd6f051089806e590aeb45,2,InforOverload,Intervention,1,1,2.95,1,1,1,1,20,1,1,1,4.17
45abfdf3a3fd6f051089806e590aeb45,3,Order&Grouping,Baseline,1,1,3.77,1,2,1,3,20,4,1,2.2,5.17
45abfdf3a3fd6f051089806e590aeb45,4,Order&Grouping,Intervention,1,1,4,1,2,1,2,17,4,1,2,4.50
45abfdf3a3fd6f051089806e590aeb45,7,DataUnderstanding,Baseline,2,0,4.98,1,3,2,4,18,5,2,3.2,5.67
45abfdf3a3fd6f051089806e590aeb45,5,DataPresentation,Baseline,2,1,5.10,1,2,1,1,20,1,1,1.2,4.33
45abfdf3a3fd6f051089806e590aeb45,1,InforOverload,Baseline,1,0,2.68,1,1,1,1,20,1,1,1,4.17
bc360e201c556e73fadccd1b0fbe1083,7,DataUnderstanding,Baseline,1,1,5.35,2,10,0,6,16,10,0,5.2,7.00
bc360e201c556e73fadccd1b0fbe1083,7,DataUnderstanding,Baseline,2,1,8.18,2,14,0,14,19,16,5,9.8,11.33
